row_idx,model,technique,video,crime_type,judge,H1,H2,H3,H4,H5,H6,reasoning
6,Claude,Chain-of-Thought,Abuse003_x264,Abuse,Gemini,1,1,0,0,1,0,"The model hallucinates setting details like carpet and backlight, fabricates objects like a large white wrapped bundle, and severely misclassifies the event by inventing a chokehold and body concealment instead of the actual actions of letting the wheelchair slide."
7,Claude,Chain-of-Thought,Abuse006_x264,Abuse,GPT,1,1,1,1,0,1,"The model invents scene details like timestamps, camera label, snow/slush and an outdoor lot, reframes apparent police assault/excessive force as a normal arrest, omits the stepping/force, minimizes severity, and adds extra actors beyond the five officers described."
7,Claude,Chain-of-Thought,Abuse006_x264,Abuse,Gemini,1,0,0,1,0,0,"The model fabricates scene details such as snow/slush, timestamps, and camera IDs (H1), and minimizes the severity of the event by explicitly denying kicks or strikes despite the ground truth stating an officer stepped on the suspect (H4)."
8,Claude,Chain-of-Thought,Abuse014_x264,Abuse,GPT,1,1,1,1,1,1,"The model invents scene details and a woman actor, misclassifies the event as normal bin use, and omits/minimizes the primary animal cruelty act of an old man throwing a black kitten into a trash can."
8,Claude,Chain-of-Thought,Abuse014_x264,Abuse,Gemini,1,0,1,0,1,0,"The model completely misses the animal cruelty incident (throwing a cat into the trash), hallucinates the actor as a woman with a handbag instead of an old man, and invents scene details like metal fencing and a brick building."
9,Claude,Chain-of-Thought,Abuse011_x264,Abuse,GPT,1,0,0,0,1,1,"The output correctly describes a serious assault/abuse but fabricates unsupported scene details, objects/title cards/timestamps/arson elements, and adds a third person not in the ground truth."
9,Claude,Chain-of-Thought,Abuse011_x264,Abuse,Gemini,1,0,0,0,1,1,"The model hallucinates scene details (radiator, wooden floors, timestamps), objects (title cards, accelerant), and a phantom third person passing by that are not present in the ground truth."
10,Claude,Chain-of-Thought,Abuse016_x264,Abuse,GPT,1,1,1,1,1,1,"The model fabricates scene/time details and a predator attack narrative, misclassifies the dog theft/abduction as normal non-criminal activity, minimizes its seriousness, and invents entities/actors not in the ground truth."
10,Claude,Chain-of-Thought,Abuse016_x264,Abuse,Gemini,1,1,1,1,1,1,"The model completely misses the dog theft, misclassifying the event as 'Normal', and fabricates a wild predator (big cat/leopard) attack along with unsupported scene details like a blue bucket."
11,Claude,Chain-of-Thought,Abuse013_x264,Abuse,GPT,1,0,0,1,1,1,"The model correctly identifies abuse but invents scene details, objects/timestamps/visual features and possible extra caregivers, while reducing the prolonged repeated assaults to only two less severe incidents."
11,Claude,Chain-of-Thought,Abuse013_x264,Abuse,Gemini,1,0,0,1,1,0,"The model invents scene details (timestamps, tile flooring) and objects (pink/red bench, winter coats), and minimizes the severity of the abuse by omitting the severe, repeated kicking, dragging, and throwing described in the ground truth."
12,Claude,Chain-of-Thought,Abuse008_x264,Abuse,GPT,1,0,0,0,1,1,"The model correctly identifies custodial police abuse but fabricates scene details, objects, and additional actor roles/events such as an officer being assaulted/downed and repeated kicking by officers that are not in the ground truth."
12,Claude,Chain-of-Thought,Abuse008_x264,Abuse,Gemini,1,0,0,0,1,0,"The model fabricates scene details such as the cell number, white tiled walls, and a LiveLeak watermark (H1), as well as objects like scattered papers and an intercom (H5), while hallucinating a completely different sequence of physical altercations."
13,Claude,Chain-of-Thought,Abuse017_x264,Abuse,GPT,1,1,0,0,1,1,"The model misclassifies the child assault/abuse as robbery and fabricates ransacking, cash-register evidence, debris, multiple victims, and additional actors not present in the ground truth."
13,Claude,Chain-of-Thought,Abuse017_x264,Abuse,Gemini,1,1,1,0,1,1,"The model completely misinterprets the child abuse incident as a violent commercial robbery, inventing a ransacked scene, multiple phantom victims, and misidentifying the aggressor's clothing and the bystander's actions."
14,Claude,Chain-of-Thought,Abuse012_x264,Abuse,GPT,1,1,1,1,1,1,"The model falsely describes the violent infant abuse as normal caregiving, misses the beating/shaking/slapping, minimizes severity, and invents scene details, objects, and additional adults not in the ground truth."
14,Claude,Chain-of-Thought,Abuse012_x264,Abuse,Gemini,1,0,1,1,1,0,"The model completely misses the severe child abuse, classifying the violent beating as normal caregiving, and hallucinates setting details like 'Camera 03' and a second adult in a white shirt."
15,Claude,Chain-of-Thought,Abuse018_x264,Abuse,GPT,1,1,1,1,1,0,"The model invents courthouse/date/watermark and objects like duty belt/handcuffing details, mislabels the incident as a standard arrest, omits the officer kicking the man, and minimizes the force used, but does not add extra actors."
15,Claude,Chain-of-Thought,Abuse018_x264,Abuse,Gemini,1,0,1,1,0,0,"The model hallucinates specific location and date details (H1), completely misses the subject rushing the officer (H3), and falsely claims there was no resistance or kicking, minimizing the severity of the physical altercation (H4)."
16,Claude,Chain-of-Thought,Abuse023_x264,Abuse,GPT,1,0,0,0,1,1,"The model correctly identifies an assault but invents scene details and objects, misattributes the primary aggressor as dark-clothed, and adds/labels additional attackers beyond the ground-truth description."
16,Claude,Chain-of-Thought,Abuse023_x264,Abuse,Gemini,1,0,0,0,1,0,"The model fabricates setting details (white tiled floors, institutional appearance) and objects (metallic partition, LiveLeak watermark) not present in the ground truth."
17,Claude,Chain-of-Thought,Abuse021_x264,Abuse,GPT,1,0,0,0,1,0,"The model correctly identifies child abuse but fabricates numerous scene/provenance details and objects such as LiveLeak/Carabinieri indicators, play structures, nap cots, cubbies, mats, and hidden surveillance not present in the ground truth."
17,Claude,Chain-of-Thought,Abuse021_x264,Abuse,Gemini,1,0,0,0,1,0,"The model correctly identifies the crime as child abuse but hallucinates numerous setting details and objects (such as play structures, nap cots, cubbies, and watermarks) that are not mentioned in the ground truth."
18,Claude,Chain-of-Thought,Abuse019_x264,Abuse,GPT,1,1,1,1,1,1,"The model fabricates a private bedroom/LiveLeak/intimate setting with extra objects and a third person, misclassifies the elder abuse/assaultive actions as normal consensual activity, and minimizes/omits the primary crime."
18,Claude,Chain-of-Thought,Abuse019_x264,Abuse,Gemini,1,0,1,1,1,0,"The model completely misses the physical abuse (hitting/slapping), misinterpreting it as a consensual intimate encounter, and fabricates scene details and objects like a framed picture, nightstand, and watermark not present in the ground truth."
19,Claude,Chain-of-Thought,Abuse020_x264,Abuse,GPT,1,1,0,0,1,1,"The model fabricates details like LiveLeak/hidden-camera/outdoor footage and captions, misclassifies the incident as child abuse involving a boy instead of assault/threats against a woman, and invents a child victim not in the ground truth."
19,Claude,Chain-of-Thought,Abuse020_x264,Abuse,Gemini,-1,-1,-1,-1,-1,-1,"ERROR: Gemini returned no text (finish_reason=None, block_reason=BlockedReason.PROHIBITED_CONTENT)"
20,Claude,Chain-of-Thought,Abuse022_x264,Abuse,GPT,1,1,1,1,1,1,"The model invents a school hallway, students, lockers, security, and multiple unrelated fight participants, misclassifies the one-sided assault on a wheelchair user as mutual fighting, and omits/minimizes the primary assault."
20,Claude,Chain-of-Thought,Abuse022_x264,Abuse,Gemini,1,1,1,1,1,1,"The model completely fabricates the setting (school hallway with lockers), actors (students, security personnel), and the event itself, describing a mutual fistfight instead of the actual unprovoked assault on a person in a wheelchair."
21,Claude,Chain-of-Thought,Abuse024_x264,Abuse,GPT,1,1,1,1,1,1,"The model invents an earthquake, second camera/checkout scene, falling merchandise and staff, classifies the event as non-criminal, and completely misses/minimizes the actual assault/dragging of women by the man."
21,Claude,Chain-of-Thought,Abuse024_x264,Abuse,Gemini,1,1,1,1,1,1,"The model completely misses the assault and dragging incident, instead hallucinating a natural disaster (earthquake) with fabricated scene details like a checkout counter, falling merchandise, and staff members."
22,Claude,Chain-of-Thought,Abuse015_x264,Abuse,GPT,1,1,0,0,1,1,"The model invents custody-abuse context, timestamps/text cards, injuries, handcuffs, striking, and advocacy framing not in the ground truth, adding fabricated objects/entities and victim/perpetrator roles."
22,Claude,Chain-of-Thought,Abuse015_x264,Abuse,Gemini,1,1,0,0,1,1,"The model completely fabricates a violent police abuse incident, including text cards, severe injuries, and striking motions, whereas the ground truth describes a mundane scene of people sitting and talking in a police station."
23,Claude,Chain-of-Thought,Abuse029_x264,Abuse,GPT,1,1,1,1,1,0,"The model fabricates a driveway/SUV scenario, misses the puppy being taken, classifies the event as normal rather than dog theft, and minimizes its seriousness while not adding extra human actors."
23,Claude,Chain-of-Thought,Abuse029_x264,Abuse,Gemini,1,0,1,0,1,0,"The model completely misses the dog theft, instead fabricating a white SUV in a driveway and classifying the event as normal."
24,Claude,Chain-of-Thought,Abuse025_x264,Abuse,GPT,1,0,0,0,1,0,"The model correctly identifies child abuse broadly but fabricates setting details and objects such as a playroom, foam mats, crib, toy bins, stuffed animals, and watermark that are not in the ground truth."
24,Claude,Chain-of-Thought,Abuse025_x264,Abuse,Gemini,1,0,1,0,1,0,"The model fabricates scene details and objects such as a playroom, crib, and toys, and completely misses the use of a curling iron, which is the primary instrument of abuse described in the ground truth."
25,Claude,Chain-of-Thought,Abuse028_x264,Abuse,GPT,1,1,1,1,1,1,"The model invents a gate/tampering scene with extra objects and possible actors, classifies the event as normal, and entirely misses/minimizes the actual postman beating the black dog with a stick."
25,Claude,Chain-of-Thought,Abuse028_x264,Abuse,Gemini,1,0,1,0,1,1,"The model completely hallucinates a different video, inventing a scene with a sliding gate, palm tree, and a person manipulating a latch, while entirely missing the actual event of a postman beating a dog."
26,Claude,Chain-of-Thought,Abuse030_x264,Abuse,GPT,1,1,1,1,1,0,"The model invents scene details and objects, misclassifies the incident as abandonment/neglect, omits the man hitting the dog, and thereby downplays the physical abuse described in the ground truth."
26,Claude,Chain-of-Thought,Abuse030_x264,Abuse,Gemini,1,1,1,0,1,0,"The model hallucinates setting details and entities like timestamps, an RSPCA watermark, and a white van, completely misses the physical abuse (hitting the dog), and misclassifies the crime as abandonment by falsely claiming the man left the dog behind."
27,Claude,Chain-of-Thought,Abuse026_x264,Abuse,GPT,1,1,1,0,1,1,"The model invents street/vehicle/bag/child details and multiple assailants, misclassifies the incident as robbery, and omits the primary sexual assault/harassment described in the ground truth."
27,Claude,Chain-of-Thought,Abuse026_x264,Abuse,Gemini,1,1,1,0,1,1,"The model completely fabricates a violent group robbery, inventing multiple perpetrators, a child, a bag, and specific scene details like a Range Rover, while missing the actual crime of forced kissing and harassment."
28,Claude,Chain-of-Thought,Abuse027_x264,Abuse,GPT,1,1,1,1,1,1,"The model invents many scene details and a second figure, classifies the incident as normal domestic activity, and completely misses/minimizes the abusive shaking and rough handling of the baby."
28,Claude,Chain-of-Thought,Abuse027_x264,Abuse,Gemini,1,0,1,1,1,0,"The model completely misses the violent child abuse, mischaracterizing the violent shaking as calm domestic chores, and fabricates setting details, objects like a baby walker, and a second person not present in the ground truth."
29,Claude,Chain-of-Thought,Abuse034_x264,Abuse,GPT,1,1,0,0,1,0,"The model fabricates scene/object details such as a parked maroon sedan, green-shirt rescuer, motorcycle crash, ride-on toy, median, and watermark, and misclassifies the event as a road accident despite the ground truth describing a near-miss rescue with no crash."
29,Claude,Chain-of-Thought,Abuse034_x264,Abuse,Gemini,1,0,0,0,1,0,"The model fabricates setting details like a parked maroon sedan, objects like a tricycle, and events like a motorcycle crash that are not present in the ground truth."
30,Claude,Chain-of-Thought,Abuse004_x264,Abuse,GPT,1,0,0,0,1,1,"The model correctly frames the event as custodial abuse but fabricates extensive scene/timeline details, objects and markings, and adds extra officer involvement beyond the two policemen in the ground truth."
30,Claude,Chain-of-Thought,Abuse004_x264,Abuse,Gemini,1,0,1,0,1,1,"The model completely hallucinates the events, missing the pepper spraying and instead inventing a tackling and prolonged beating, while also fabricating scene details (camera number, date, walls), objects (jacket markings), and a third officer."
31,Claude,Chain-of-Thought,Abuse033_x264,Abuse,GPT,1,0,0,0,1,0,"The model correctly identifies elder abuse but invents unsupported scene/object details such as nursing-home features, bottles, framed picture, closet, AC unit, blinds, timestamps, branding, and hidden-camera/legal context."
31,Claude,Chain-of-Thought,Abuse033_x264,Abuse,Gemini,1,0,0,0,1,0,"The model fabricates setting details and objects such as an AC unit, window blinds, framed picture, bottles, a headscarf, and USAttorneys branding that are not present in the ground truth."
32,Claude,Chain-of-Thought,Abuse031_x264,Abuse,GPT,1,1,1,0,1,0,"The model invents burglary-related scene details and objects such as stolen goods, bags, locks, and a window/opening, misclassifies the event as burglary, and omits the primary act of throwing the dog over the gate."
32,Claude,Chain-of-Thought,Abuse031_x264,Abuse,Gemini,1,1,0,0,1,0,"The model misinterprets the act of putting a dog over a gate as a burglary, fabricating setting details like a dirt lot and window, and inventing objects like dark bags and stolen goods."
33,Claude,Chain-of-Thought,Abuse035_x264,Abuse,GPT,1,0,0,0,1,1,"The model correctly identifies child abuse but fabricates extensive scene details, objects like gloves/bedding/mats, and additional victims/episodes not present in the ground truth."
33,Claude,Chain-of-Thought,Abuse035_x264,Abuse,Gemini,1,0,0,0,1,1,"The model invents specific classroom decor and bedding (H1), introduces non-existent objects like blue gloves and blankets (H5), and falsely claims there were multiple victims of abuse (H6)."
34,Claude,Chain-of-Thought,Abuse032_x264,Abuse,GPT,1,0,0,0,1,1,"The model correctly identifies abuse broadly, but fabricates multiple separate cases, title cards, ventilators, medical equipment, and additional victims/perpetrators not present in the ground truth."
34,Claude,Chain-of-Thought,Abuse032_x264,Abuse,Gemini,1,0,1,1,1,1,"The model completely fabricates the video as a compilation of different cases, inventing title cards, new victims, and objects, while missing and minimizing the specific severe physical abuse (smothering, slapping) present in the ground truth."
35,Claude,Chain-of-Thought,Abuse038_x264,Abuse,GPT,1,1,1,1,1,0,"The model invents scene details and objects, classifies the puppy collision as normal/artifact, misses the black car hitting two puppies, and minimizes the severity, but does not clearly add extra perpetrators or victims as factual actors."
35,Claude,Chain-of-Thought,Abuse038_x264,Abuse,Gemini,1,0,1,0,1,0,"The model completely misses the car hitting the puppies, classifying the event as normal, and invents scene details and objects like snow and a bus stop."
36,Claude,Chain-of-Thought,Abuse037_x264,Abuse,GPT,1,1,1,1,1,0,"The model invents a snowy commercial yard with taxis, trucks, people, timestamps, and other details, classifies the event as normal, and fails to report the white car running over the dog, thereby minimizing the incident."
37,Claude,Chain-of-Thought,Abuse041_x264,Abuse,GPT,1,1,0,0,1,0,"The model fabricates abuse/striking and setting/object details such as decorations, timestamp, fan, chairs, and punishment behavior, while the ground truth describes routine childcare/cleaning with no crime."
38,Claude,Chain-of-Thought,Abuse036_x264,Abuse,GPT,1,0,0,0,1,0,"The model correctly treats the event as non-criminal but fabricates unsupported scene details and entities such as wallpaper, timestamps, hidden surveillance, a child/younger figure, and other specific people/objects not described in the ground truth."
40,Claude,Chain-of-Thought,Abuse046_x264,Abuse,GPT,1,0,0,0,1,0,"The model correctly identifies animal abuse but fabricates unsupported scene/source details such as LiveLeak warning, CCTV characteristics, fence/gate/white house/rooftops and other objects not stated in the ground truth."
36,Claude,Chain-of-Thought,Abuse037_x264,Abuse,Gemini,1,1,1,1,1,0,"The model misses the primary event of the car crushing the dog, classifying the scene as normal and minimizing the severity, while fabricating setting details, vehicles, and pedestrians not mentioned in the ground truth."
41,Claude,Chain-of-Thought,Abuse047_x264,Abuse,GPT,1,0,0,0,1,1,"The model correctly identifies child abuse but fabricates scene/context details such as branding, timestamps, lighting changes, tables, and adds other adult caregivers/bystanders not present in the ground truth."
38,Claude,Chain-of-Thought,Abuse036_x264,Abuse,Gemini,1,0,0,0,1,0,"The model fabricates specific scene details (wallpaper, wreath) and entities (a child/young girl) not present in the ground truth, while completely missing the old man."
40,Claude,Chain-of-Thought,Abuse046_x264,Abuse,Gemini,1,0,0,1,1,0,"The model fabricates setting details and objects like a LiveLeak warning screen, fence, and white house, and minimizes the severity of the crime by describing vague downward motions instead of the explicit strangling, throwing, and kicking present in the ground truth."
39,Claude,Chain-of-Thought,Abuse040_x264,Abuse,Gemini,1,1,1,1,1,0,"The model fabricates scene context (news outlets) and objects (blue bag, coffee table), misclassifies the crime as burglary, misses the explicit physical assault, and minimizes the severity by denying overt violence."
37,Claude,Chain-of-Thought,Abuse041_x264,Abuse,Gemini,1,1,0,0,1,0,"The model falsely classifies normal cleaning and childcare activities as child abuse, and invents scene details and objects like a fan and cartoon decorations not present in the ground truth."
39,Claude,Chain-of-Thought,Abuse040_x264,Abuse,GPT,1,1,0,1,1,0,"The model invents contextual/scene details and objects, misclassifies the assault/elder abuse as burglary, and minimizes the visible repeated hitting/slapping by saying no overt violence was resolved."
42,Claude,Chain-of-Thought,Abuse043_x264,Abuse,GPT,1,0,0,0,1,0,"The model correctly identifies abuse of a wheelchair-bound victim but fabricates many scene/object details such as a domestic bedroom, dresser, couch/bed, blinds, covert recording, and pinned overhead striking not supported by the ground truth."
41,Claude,Chain-of-Thought,Abuse047_x264,Abuse,Gemini,1,0,0,0,1,1,"The model fabricates scene details (watermarks, timestamps), objects (tables, chairs), and phantom actors (bystander caregivers) not mentioned in the ground truth, while correctly identifying the primary crime of abuse."
44,Claude,Chain-of-Thought,Abuse045_x264,Abuse,GPT,1,0,0,0,1,0,"The model correctly identifies elder abuse/assault but invents unsupported scene and object details such as artwork, walker, stroller/folding chair, watermark, timestamps, and batch structure."
43,Claude,Chain-of-Thought,Abuse044_x264,Abuse,GPT,1,1,0,0,1,1,"The model invents scene details and a third observer, misclassifies the apparent elder physical abuse/care mistreatment as sexual elder abuse, but does still identify abuse generally."
42,Claude,Chain-of-Thought,Abuse043_x264,Abuse,Gemini,1,0,0,0,1,0,"The model fabricates setting details and objects (couch, bed, dresser, framed picture, blinds) and invents actions (grappling, pinning, mounting) not present in the ground truth."
43,Claude,Chain-of-Thought,Abuse044_x264,Abuse,Gemini,1,1,1,0,1,1,"The model hallucinates scene details like a botanical print, invents a third observing person, and misclassifies the physical altercation as sexual elder abuse."
44,Claude,Chain-of-Thought,Abuse045_x264,Abuse,Gemini,1,0,0,0,1,0,"The model correctly identifies the elder abuse but hallucinates numerous setting details and objects (such as artwork, a walker, a stroller, and specific timestamps) that are not mentioned in the ground truth."
45,Claude,Chain-of-Thought,Assault012_x264,Assault,GPT,1,0,0,0,1,1,"The model correctly identifies an assault but fabricates setting/timestamp details, invents extra bystanders/behaviors such as crouching or rifling, and adds/changes actors by implying multiple assailants and no helpers despite the ground truth describing one attacker fleeing and a man and woman assisting."
46,Claude,Chain-of-Thought,Abuse049_x264,Abuse,Gemini,1,1,0,0,1,0,"The model hallucinates an abuse scenario with striking implements and fabricated scene details (flowers, lamp, headboard) from a ground truth that describes routine caregiving for an elderly man."
46,Claude,Chain-of-Thought,Abuse049_x264,Abuse,GPT,1,1,0,0,1,1,"The model fabricates assault/abuse details, setting elements, objects like a belt and warning placard, and suggests a child/victim-assailant dynamic not supported by the caregiving-focused ground truth."
45,Claude,Chain-of-Thought,Assault012_x264,Assault,Gemini,1,0,0,0,1,1,"The model invents specific scene details (timestamp, brick pavement, nightlife area), fabricates 3-5 background observers, and mischaracterizes the helpers as lingering assailants while implying multiple perpetrators."
48,Claude,Chain-of-Thought,Assault026_x264,Assault,GPT,1,1,0,0,1,1,"The model invents detailed venue elements and extra people, misclassifies the one-sided beating/assault as mutual fighting, but still mentions physical violence."
48,Claude,Chain-of-Thought,Assault026_x264,Assault,Gemini,1,0,0,0,1,1,"The model invents elaborate scene details (hanging propeller, tiled floor) and introduces fabricated entities and actors (a woman with long hair, a small child) that are not present in the ground truth."
47,Claude,Chain-of-Thought,Assault007_x264,Assault,GPT,1,1,0,0,1,0,"The model invents details such as camera/date/time, fan/tiled-floor/forced ATM manipulation and misclassifies the incident as robbery despite the ground truth showing a violent assault and camera/property damage, while still mentioning the beating and not adding extra actors."
47,Claude,Chain-of-Thought,Assault007_x264,Assault,Gemini,1,1,0,0,1,0,"The model invents scene details (tiled floor, fan), fabricates entities/clothing (camo), and misclassifies the crime as robbery by hallucinating that the perpetrators forced ATM equipment instead of striking the air conditioner."
49,Claude,Chain-of-Thought,Abuse048_x264,Abuse,GPT,1,0,0,0,1,1,"The model correctly identifies abuse of vulnerable patients but fabricates scene details and objects such as Italian law-enforcement watermarks, nursery/bath areas, baby equipment, and an infant victim not present in the ground truth."
50,Claude,Chain-of-Thought,Assault035_x264,Assault,GPT,1,1,0,0,1,1,"The model invents location/timestamp/BMW and other scene details, misclassifies the assault/vandalism as robbery, and adds fabricated objects and extra actors such as lookouts, occupants, and a hi-vis person, though it does mention an assault."
49,Claude,Chain-of-Thought,Abuse048_x264,Abuse,Gemini,1,0,0,0,1,1,"The model hallucinates setting details (pink walls, bathroom), objects (bathtub, commode, crutches), and a victim (an infant) that are entirely absent from the ground truth."
51,Claude,Chain-of-Thought,Assault038_x264,Assault,GPT,1,0,0,0,1,0,"The model correctly identifies an assault but fabricates scene details such as a nightclub/bar setting, timestamps, bystanders, watermark, and a possible weapon/object not stated in the ground truth."
51,Claude,Chain-of-Thought,Assault038_x264,Assault,Gemini,1,0,0,0,1,0,"The model correctly identifies the assault but hallucinates setting details (nightclub/bar, timestamps) and entities (bystanders, a weapon/object) not present in the ground truth."
50,Claude,Chain-of-Thought,Assault035_x264,Assault,Gemini,1,1,0,0,1,1,"The model hallucinates specific scene details (timestamps, camera names), misclassifies the crime as a robbery by inventing a theft narrative, and fabricates entities and actors such as a BMW, a bollard, a lookout, and a hi-vis vested individual not present in the ground truth."
52,Claude,Chain-of-Thought,Assault039_x264,Assault,GPT,1,1,1,1,1,0,"The model invents exterior/news/timestamp and wheelchair/poncho details, misclassifies the beating as robbery/snatch-and-grab, and omits/minimizes the primary assault while not adding extra actors beyond the two men."
53,Claude,Chain-of-Thought,Assault033_x264,Assault,GPT,1,0,0,0,1,0,"The model correctly identifies an assault involving the two people, but fabricates unsupported scene/object details such as watermark, metallic walls, tile floor, control panel, and other visual specifics not in the ground truth."
52,Claude,Chain-of-Thought,Assault039_x264,Assault,Gemini,1,1,1,1,1,0,"The model misclassifies the beating as a robbery, misses the physical assault, minimizes the violence by suggesting simple stealing, and fabricates setting details (sidewalk, timestamps) and objects (wheelchair, poncho)."
54,Claude,Chain-of-Thought,Assault036_x264,Assault,GPT,1,1,0,1,1,1,"The model invents scene details, objects, and a third actor, misclassifies a one-sided assault/chase beating as mutual fighting, and minimizes the victimization despite mentioning assault as a secondary possibility."
55,Claude,Chain-of-Thought,Abuse050_x264,Abuse,GPT,1,0,0,0,1,1,"The model correctly identifies adult-on-child abuse but fabricates extra scene/media details, a man/older youth and multiple additional perpetrators or victims not present in the ground truth."
56,Claude,Chain-of-Thought,Assault044_x264,Assault,GPT,1,0,0,0,1,1,"The model correctly classifies the incident as assault, but fabricates setting details, weapons/barrel objects, and additional armed actors/victim dynamics not present in the ground truth."
54,Claude,Chain-of-Thought,Assault036_x264,Assault,Gemini,1,1,0,0,1,1,"The model fabricates scene details (signs, fencing), objects (bag, phone), and a phantom actor (female bystander), while misclassifying the unprovoked assault as a mutual fight."
55,Claude,Chain-of-Thought,Abuse050_x264,Abuse,Gemini,1,0,0,0,1,1,"The model hallucinates setting details like specific dates and a news title card, and invents a male perpetrator ('man in white shirt') not present in the ground truth."
57,Claude,Chain-of-Thought,Assault052_x264,Assault,GPT,1,0,0,0,1,1,"The model correctly identifies assault but fabricates scene details such as batches, overlays, a yellow sedan, zooming, and invents multiple assailants/lone subjects beyond the single attacker described."
56,Claude,Chain-of-Thought,Assault044_x264,Assault,Gemini,1,0,0,0,1,0,"The model fabricates scene details like an alleyway, staircase, and tiled ground, as well as objects like weapons and a barrel that are not mentioned in the ground truth."
53,Claude,Chain-of-Thought,Assault033_x264,Assault,Gemini,1,0,0,0,0,0,"The model invents specific setting details such as metallic walls, a control panel, and a patterned tile floor that are not mentioned in the ground truth."
58,Claude,Chain-of-Thought,Assault049_x264,Assault,GPT,1,0,0,0,1,1,"The model correctly identifies an assault but fabricates bar/pub setting details and objects, invents or mislabels actors such as a hooded aggressor and bystanders, and omits the ground-truth group of attackers by treating them as nonparticipating witnesses."
57,Claude,Chain-of-Thought,Assault052_x264,Assault,Gemini,1,0,0,0,1,1,"The model hallucinates an initial altercation across the street (H1), a yellow sedan (H5), and multiple assailants instead of a single attacker (H6)."
59,Claude,Chain-of-Thought,Abuse039_x264,Abuse,Gemini,1,1,0,0,1,1,"The model completely hallucinates a violent use-of-force incident involving multiple officers, a takedown, and specific booking room details, whereas the ground truth only describes a routine security scanning process with three individuals."
58,Claude,Chain-of-Thought,Assault049_x264,Assault,Gemini,1,0,0,0,1,1,"The model fabricates specific setting details and objects like a pool table, bar counter, and VB signage (H1, H5), and alters the perpetrators by incorrectly identifying the red-shirted man as the initial attacker and introducing a hooded aggressor not mentioned in the ground truth (H6)."
